ID,Label,Gender
1800065,Simon Hamlin,0
1808041,Martie Barylick,0
92614,Dawn Olivieri,1
999737,Erica McDermott,0
1673016,Dicky Eklund Jr.,2
380,Robert De Niro,2
928638,John Franchi,0
1855615,Danny Corbo,0
1855616,Sonny Corbo,0
1233056,Jack Jones,2
2111969,Gavin Maddox Bergman,2
91606,Tom Hiddleston,2
112,Cate Blanchett,1
17605,Idris Elba,2
4785,Jeff Goldblum,2
62561,Tessa Thompson,1
1372,Karl Urban,2
4173,Anthony Hopkins,2
55934,Taika Waititi,2
13275,Tadanobu Asano,2
56614,Ray Stevenson,2
69899,Zachary Levi,2
71580,Benedict Cumberbatch,2
15298,Rachel House,1
6574,Clancy Brown,2
4783,Sam Neill,2
216986,Luke Hemsworth,2
1892,Matt Damon,2
1434826,Charlotte Nicdao,1
1909074,Georgia Blizzard,0
1909075,Amali Golden,0
1909076,Ashley Ricardo,0
1687354,Shalom Brune-Franklin,0
1909077,Taylor Hemsworth,0
939388,Cohen Holloway,2
1535059,Alia Seror-O'Neill,0
1909079,Sophia Laryea,0
1310264,Stephen Oliver,0
1570328,Hamish Parkinson,0
187016,Jasper Bagg,2
1909080,Sky Castanho,0
1058106,Shari Sebbens,1
1909081,Richard Green,0
1909082,Sol Castanho,0
1527566,Jet Tranter,1
1909083,Samantha Hopper,0
1674205,Eloise Winestock,0
110909,Rob Mayes,2
1768699,Tahlia Jade,1
1690239,Winnie Mzembe,0
1328711,Sean Edward Frazer,0
1394464,Connor Zegenhagen,0
1814638,Tracie Filmer,0
230621,Tracey Lee Maxwell,0
1814641,Beatrice Ward,1
1813771,Donnie Baxter,0
1795311,Greta Carew-Johns,0
70890,Adam Green,2
1813770,Mollie McGregor,0
1571654,Sophia McGregor,0
16857,Tom Everett Scott,2
51670,Johnathon Schaech,2
31,Tom Hanks,2
18324,Steve Zahn,2
58019,Ethan Embry,2
882,Liv Tyler,1
6885,Charlize Theron,1
8854,Bill Cobbs,2
1771,Giovanni Ribisi,2
52057,Obba Babatundé,2
20752,Alex Rocco,2
6591,Chris Isaak,2
1578,Holmes Osborne,2
8191,Chris Ellis,2
42363,Peter Scolari,2
12931,Rita Wilson,1
7166,Kevin Pollak,2
74933,Robert Torti,2
67805,Claudia Stedelin,0
166935,Dawn Maxey,1
16294,Jonathan Demme,2
116805,Paul Feig,2
17419,Bryan Cranston,2
3492,Colin Hanks,2
93055,Sarah Koskoff,1
16855,Mandy Moore,1
81295,Shane West,2
9979,Peter Coyote,2
589,Daryl Hannah,1
37014,Lauren German,1
59671,Clayne Crawford,2
59882,Paz de la Huerta,1
1230911,Matt Lutz,0
1232540,Al Thompson,2
1223006,Jonathan Parks Jordan,0
7219,David Andrews,2
56112,David Lee Smith,2
1749189,Xavier Hernandez,0
1567465,Marisa Miller,1
1148729,Erik Smith,0
1749190,Al Butler,0
1202533,Seth Howard,0
1749191,Julia Ann West,1
1749192,Frances E. Davis,1
91836,Dean Mumford,0
29214,Anne Fletcher,1
20744,Mervyn Warren,0
1749193,Charles E. Bailey,0
1055184,Sheila Brothers,1
1534853,Kelly Cole Childers,1
1098578,Jenny Gulley,1
20739,Adam Shankman,2
1479120,Ryan Sweeney,0
1534844,Chip Thomas,0
52490,Robert C. Treveiler,2
160260,Paula Jones,1
3,Harrison Ford,2
5293,Willem Dafoe,2
10427,Anne Archer,1
22462,Joaquim de Almeida,2
15319,Henry Czerny,2
1166,Harris Yulin,2
15417,Donald Moffat,2
30488,Miguel Sandoval,2
4589,Benjamin Bratt,2
58650,Raymond Cruz,2
40393,Dean Jones,2
2155,Thora Birch,1
37042,Ann Magnuson,1
3382,Hope Lange,1
75201,Tom Tammi,2
15152,James Earl Jones,2
11769,Ted Raimi,2
19974,Greg Germann,2
58493,Tim Grimm,2
152863,Belita Moreno,1
47886,Jorge Luke,2
538471,Jaime Gomez,2
1566830,Jared Chandler,2
4975,Ellen Geer,1
6198,Vondie Curtis-Hall,2
84625,John Lafayette,2
2099607,Beau Lotterman,0
16937,Rex Linn,2
18328,Ken Howard,2
2099608,Alexander Lester,0
38951,Reg E. Cathey,2
9048,Clark Gregg,2
227199,Chris Conrad,2
103804,Vaughn Armstrong,2
21475,John Putch,2
81375,Colleen Flynn,1
31508,Reed Diamond,2
1229855,Cam Brainard,2
1226026,Brendan Ford,0
46921,Michael Jace,2
5274,Patrick Bauchau,0
140237,Aaron Lustig,2
1232417,Lynne Marie Stewart,0
139049,John Rixey Moore,0
57189,Ryan Newman,1
884,Steve Buscemi,2
51583,Mitchel Musso,2
57191,Sam Lerner,2
57192,Spencer Locke,1
11514,Catherine O'Hara,1
20753,Fred Willard,2
42288,Woody Schultz,0
1077841,Ian McConnel,0
1579,Maggie Gyllenhaal,1
11662,Jason Lee,2
32895,Kevin James,2
36811,Nick Cannon,2
53926,Jon Heder,2
3391,Kathleen Turner,1
61403,Erik Walker,2
198812,Matthew Fahey,2
